"store_id","store_name","store_city","store_location","product_id","product_name","product_category","product_cost","product_price","stock_on_hand","inventory_status","previous_units_sold","recent_units_sold","average_daily_units","days_of_stock_coverage","demand_change_percent","unit_margin","estimated_recent_revenue","estimated_recent_gross_profit","inventory_value_at_cost"
23,"Maven Toys Chihuahua 1","Chihuahua","Commercial",1,"Action Figure","Toys",9.99,15.99,4,"positive_stock",66,79,0.88,4.6,19.7,6.00,1263.21,474.00,39.96
24,"Maven Toys Aguascalientes 1","Aguascalientes","Downtown",1,"Action Figure","Toys",9.99,15.99,11,"positive_stock",31,20,0.22,49.5,-35.5,6.00,319.80,120.00,109.89
25,"Maven Toys Ciudad Victoria 1","Ciudad Victoria","Downtown",1,"Action Figure","Toys",9.99,15.99,8,"positive_stock",147,123,1.37,5.9,-16.3,6.00,1966.77,738.00,79.92
26,"Maven Toys Campeche 2","Campeche","Commercial",1,"Action Figure","Toys",9.99,15.99,6,"positive_stock",134,4,0.04,135.0,-97.0,6.00,63.96,24.00,59.94
27,"Maven Toys Oaxaca 1","Oaxaca","Downtown",1,"Action Figure","Toys",9.99,15.99,27,"positive_stock",82,164,1.82,14.8,100.0,6.00,2622.36,984.00,269.73
28,"Maven Toys Puebla 2","Puebla","Downtown",1,"Action Figure","Toys",9.99,15.99,6,"positive_stock",198,57,0.63,9.5,-71.2,6.00,911.43,342.00,59.94
29,"Maven Toys Xalapa 1","Xalapa","Commercial",1,"Action Figure","Toys",9.99,15.99,2,"positive_stock",162,87,0.97,2.1,-46.3,6.00,1391.13,522.00,19.98
30,"Maven Toys Guadalajara 3","Guadalajara","Airport",1,"Action Figure","Toys",9.99,15.99,15,"positive_stock",270,110,1.22,12.3,-59.3,6.00,1758.90,660.00,149.85
31,"Maven Toys Ciudad de Mexico 2","Ciudad de Mexico","Airport",1,"Action Figure","Toys",9.99,15.99,5,"positive_stock",429,124,1.38,3.6,-71.1,6.00,1982.76,744.00,49.95
32,"Maven Toys Hermosillo 1","Hermosillo","Residential",1,"Action Figure","Toys",9.99,15.99,25,"positive_stock",283,188,2.09,12.0,-33.6,6.00,3006.12,1128.00,249.75
33,"Maven Toys Monterrey 3","Monterrey","Airport",1,"Action Figure","Toys",9.99,15.99,10,"positive_stock",181,65,0.72,13.8,-64.1,6.00,1039.35,390.00,99.90
34,"Maven Toys Villahermosa 1","Villahermosa","Downtown",1,"Action Figure","Toys",9.99,15.99,5,"positive_stock",284,96,1.07,4.7,-66.2,6.00,1535.04,576.00,49.95
35,"Maven Toys Chilpancingo 1","Chilpancingo","Downtown",1,"Action Figure","Toys",9.99,15.99,8,"positive_stock",172,46,0.51,15.7,-73.3,6.00,735.54,276.00,79.92
36,"Maven Toys Morelia 1","Morelia","Downtown",1,"Action Figure","Toys",9.99,15.99,2,"positive_stock",92,61,0.68,3.0,-33.7,6.00,975.39,366.00,19.98
37,"Maven Toys Ciudad de Mexico 3","Ciudad de Mexico","Residential",1,"Action Figure","Toys",9.99,15.99,23,"positive_stock",209,244,2.71,8.5,16.7,6.00,3901.56,1464.00,229.77
38,"Maven Toys Chihuahua 2","Chihuahua","Downtown",1,"Action Figure","Toys",9.99,15.99,21,"positive_stock",285,126,1.40,15.0,-55.8,6.00,2014.74,756.00,209.79
39,"Maven Toys Xalapa 2","Xalapa","Downtown",1,"Action Figure","Toys",9.99,15.99,0,"confirmed_zero_stock",165,165,1.83,0.0,0.0,6.00,2638.35,990.00,0.00
40,"Maven Toys Toluca 2","Toluca","Commercial",1,"Action Figure","Toys",9.99,15.99,10,"positive_stock",99,131,1.46,6.9,32.3,6.00,2094.69,786.00,99.90
41,"Maven Toys Hermosillo 2","Hermosillo","Downtown",1,"Action Figure","Toys",9.99,15.99,21,"positive_stock",162,91,1.01,20.8,-43.8,6.00,1455.09,546.00,209.79
42,"Maven Toys Hermosillo 3","Hermosillo","Commercial",1,"Action Figure","Toys",9.99,15.99,8,"positive_stock",39,40,0.44,18.0,2.6,6.00,639.60,240.00,79.92
43,"Maven Toys Durango 1","Durango","Downtown",1,"Action Figure","Toys",9.99,15.99,24,"positive_stock",74,77,0.86,28.1,4.1,6.00,1231.23,462.00,239.76
44,"Maven Toys Puebla 3","Puebla","Residential",1,"Action Figure","Toys",9.99,15.99,0,"confirmed_zero_stock",97,136,1.51,0.0,40.2,6.00,2174.64,816.00,0.00
45,"Maven Toys Ciudad de Mexico 4","Ciudad de Mexico","Commercial",1,"Action Figure","Toys",9.99,15.99,26,"positive_stock",195,83,0.92,28.2,-57.4,6.00,1327.17,498.00,259.74
46,"Maven Toys Guadalajara 4","Guadalajara","Downtown",1,"Action Figure","Toys",9.99,15.99,11,"positive_stock",196,130,1.44,7.6,-33.7,6.00,2078.70,780.00,109.89
47,"Maven Toys Monterrey 4","Monterrey","Commercial",1,"Action Figure","Toys",9.99,15.99,11,"positive_stock",157,40,0.44,24.8,-74.5,6.00,639.60,240.00,109.89
48,"Maven Toys Saltillo 2","Saltillo","Commercial",1,"Action Figure","Toys",9.99,15.99,3,"positive_stock",58,52,0.58,5.2,-10.3,6.00,831.48,312.00,29.97
49,"Maven Toys Culiacan 1","Culiacan","Downtown",1,"Action Figure","Toys",9.99,15.99,30,"positive_stock",128,176,1.96,15.3,37.5,6.00,2814.24,1056.00,299.70
50,"Maven Toys Guanajuato 3","Guanajuato","Residential",1,"Action Figure","Toys",9.99,15.99,18,"positive_stock",49,17,0.19,95.3,-65.3,6.00,271.83,102.00,179.82
1,"Maven Toys Guadalajara 1","Guadalajara","Residential",2,"Animal Figures","Toys",9.99,12.99,0,"confirmed_zero_stock",61,123,1.37,0.0,101.6,3.00,1597.77,369.00,0.00
2,"Maven Toys Monterrey 1","Monterrey","Residential",2,"Animal Figures","Toys",9.99,12.99,6,"positive_stock",17,81,0.90,6.7,376.5,3.00,1052.19,243.00,59.94
3,"Maven Toys Guadalajara 2","Guadalajara","Commercial",2,"Animal Figures","Toys",9.99,12.99,8,"positive_stock",129,206,2.29,3.5,59.7,3.00,2675.94,618.00,79.92
4,"Maven Toys Saltillo 1","Saltillo","Downtown",2,"Animal Figures","Toys",9.99,12.99,18,"positive_stock",77,39,0.43,41.5,-49.4,3.00,506.61,117.00,179.82
5,"Maven Toys La Paz 1","La Paz","Downtown",2,"Animal Figures","Toys",9.99,12.99,14,"positive_stock",34,26,0.29,48.5,-23.5,3.00,337.74,78.00,139.86
6,"Maven Toys Mexicali 1","Mexicali","Commercial",2,"Animal Figures","Toys",9.99,12.99,47,"positive_stock",130,91,1.01,46.5,-30.0,3.00,1182.09,273.00,469.53
7,"Maven Toys Monterrey 2","Monterrey","Downtown",2,"Animal Figures","Toys",9.99,12.99,7,"positive_stock",172,276,3.07,2.3,60.5,3.00,3585.24,828.00,69.93
8,"Maven Toys Pachuca 1","Pachuca","Downtown",2,"Animal Figures","Toys",9.99,12.99,11,"positive_stock",93,43,0.48,23.0,-53.8,3.00,558.57,129.00,109.89
9,"Maven Toys Ciudad de Mexico 1","Ciudad de Mexico","Downtown",2,"Animal Figures","Toys",9.99,12.99,18,"positive_stock",176,165,1.83,9.8,-6.3,3.00,2143.35,495.00,179.82
10,"Maven Toys Campeche 1","Campeche","Downtown",2,"Animal Figures","Toys",9.99,12.99,17,"positive_stock",0,5,0.06,306.0,NULL,3.00,64.95,15.00,169.83
11,"Maven Toys Cuernavaca 1","Cuernavaca","Downtown",2,"Animal Figures","Toys",9.99,12.99,18,"positive_stock",91,47,0.52,34.5,-48.4,3.00,610.53,141.00,179.82
12,"Maven Toys Chetumal 1","Chetumal","Downtown",2,"Animal Figures","Toys",9.99,12.99,16,"positive_stock",98,113,1.26,12.7,15.3,3.00,1467.87,339.00,159.84
13,"Maven Toys Mexicali 2","Mexicali","Downtown",2,"Animal Figures","Toys",9.99,12.99,2,"positive_stock",225,181,2.01,1.0,-19.6,3.00,2351.19,543.00,19.98
14,"Maven Toys Guanajuato 1","Guanajuato","Downtown",2,"Animal Figures","Toys",9.99,12.99,5,"positive_stock",105,239,2.66,1.9,127.6,3.00,3104.61,717.00,49.95
15,"Maven Toys Tuxtla Gutierrez 1","Tuxtla Gutierrez","Downtown",2,"Animal Figures","Toys",9.99,12.99,5,"positive_stock",192,86,0.96,5.2,-55.2,3.00,1117.14,258.00,49.95
16,"Maven Toys San Luis Potosi 1","San Luis Potosi","Downtown",2,"Animal Figures","Toys",9.99,12.99,28,"positive_stock",206,93,1.03,27.1,-54.9,3.00,1208.07,279.00,279.72
17,"Maven Toys Toluca 1","Toluca","Downtown",2,"Animal Figures","Toys",9.99,12.99,15,"positive_stock",96,253,2.81,5.3,163.5,3.00,3286.47,759.00,149.85
18,"Maven Toys Merida 1","Merida","Downtown",2,"Animal Figures","Toys",9.99,12.99,12,"positive_stock",79,125,1.39,8.6,58.2,3.00,1623.75,375.00,119.88
19,"Maven Toys Puebla 1","Puebla","Commercial",2,"Animal Figures","Toys",9.99,12.99,14,"positive_stock",42,58,0.64,21.7,38.1,3.00,753.42,174.00,139.86
20,"Maven Toys Zacatecas 1","Zacatecas","Downtown",2,"Animal Figures","Toys",9.99,12.99,2,"positive_stock",53,138,1.53,1.3,160.4,3.00,1792.62,414.00,19.98
21,"Maven Toys Santiago 1","Santiago","Downtown",2,"Animal Figures","Toys",9.99,12.99,24,"positive_stock",59,100,1.11,21.6,69.5,3.00,1299.00,300.00,239.76
22,"Maven Toys Guanajuato 2","Guanajuato","Commercial",2,"Animal Figures","Toys",9.99,12.99,25,"positive_stock",109,109,1.21,20.6,0.0,3.00,1415.91,327.00,249.75
23,"Maven Toys Chihuahua 1","Chihuahua","Commercial",2,"Animal Figures","Toys",9.99,12.99,11,"positive_stock",40,60,0.67,16.5,50.0,3.00,779.40,180.00,109.89
24,"Maven Toys Aguascalientes 1","Aguascalientes","Downtown",2,"Animal Figures","Toys",9.99,12.99,25,"positive_stock",127,117,1.30,19.2,-7.9,3.00,1519.83,351.00,249.75
25,"Maven Toys Ciudad Victoria 1","Ciudad Victoria","Downtown",2,"Animal Figures","Toys",9.99,12.99,18,"positive_stock",248,114,1.27,14.2,-54.0,3.00,1480.86,342.00,179.82
26,"Maven Toys Campeche 2","Campeche","Commercial",2,"Animal Figures","Toys",9.99,12.99,15,"positive_stock",129,50,0.56,27.0,-61.2,3.00,649.50,150.00,149.85
27,"Maven Toys Oaxaca 1","Oaxaca","Downtown",2,"Animal Figures","Toys",9.99,12.99,30,"positive_stock",156,124,1.38,21.8,-20.5,3.00,1610.76,372.00,299.70
28,"Maven Toys Puebla 2","Puebla","Downtown",2,"Animal Figures","Toys",9.99,12.99,0,"confirmed_zero_stock",76,90,1.00,0.0,18.4,3.00,1169.10,270.00,0.00
29,"Maven Toys Xalapa 1","Xalapa","Commercial",2,"Animal Figures","Toys",9.99,12.99,15,"positive_stock",60,125,1.39,10.8,108.3,3.00,1623.75,375.00,149.85
30,"Maven Toys Guadalajara 3","Guadalajara","Airport",2,"Animal Figures","Toys",9.99,12.99,30,"positive_stock",183,191,2.12,14.1,4.4,3.00,2481.09,573.00,299.70
31,"Maven Toys Ciudad de Mexico 2","Ciudad de Mexico","Airport",2,"Animal Figures","Toys",9.99,12.99,36,"positive_stock",371,184,2.04,17.6,-50.4,3.00,2390.16,552.00,359.64
32,"Maven Toys Hermosillo 1","Hermosillo","Residential",2,"Animal Figures","Toys",9.99,12.99,10,"positive_stock",78,3,0.03,300.0,-96.2,3.00,38.97,9.00,99.90
33,"Maven Toys Monterrey 3","Monterrey","Airport",2,"Animal Figures","Toys",9.99,12.99,16,"positive_stock",94,34,0.38,42.4,-63.8,3.00,441.66,102.00,159.84
34,"Maven Toys Villahermosa 1","Villahermosa","Downtown",2,"Animal Figures","Toys",9.99,12.99,25,"positive_stock",147,63,0.70,35.7,-57.1,3.00,818.37,189.00,249.75
35,"Maven Toys Chilpancingo 1","Chilpancingo","Downtown",2,"Animal Figures","Toys",9.99,12.99,37,"positive_stock",69,75,0.83,44.4,8.7,3.00,974.25,225.00,369.63
36,"Maven Toys Morelia 1","Morelia","Downtown",2,"Animal Figures","Toys",9.99,12.99,26,"positive_stock",172,86,0.96,27.2,-50.0,3.00,1117.14,258.00,259.74
37,"Maven Toys Ciudad de Mexico 3","Ciudad de Mexico","Residential",2,"Animal Figures","Toys",9.99,12.99,3,"positive_stock",177,242,2.69,1.1,36.7,3.00,3143.58,726.00,29.97
38,"Maven Toys Chihuahua 2","Chihuahua","Downtown",2,"Animal Figures","Toys",9.99,12.99,34,"positive_stock",99,84,0.93,36.4,-15.2,3.00,1091.16,252.00,339.66
39,"Maven Toys Xalapa 2","Xalapa","Downtown",2,"Animal Figures","Toys",9.99,12.99,9,"positive_stock",142,105,1.17,7.7,-26.1,3.00,1363.95,315.00,89.91
40,"Maven Toys Toluca 2","Toluca","Commercial",2,"Animal Figures","Toys",9.99,12.99,29,"positive_stock",77,91,1.01,28.7,18.2,3.00,1182.09,273.00,289.71
41,"Maven Toys Hermosillo 2","Hermosillo","Downtown",2,"Animal Figures","Toys",9.99,12.99,19,"positive_stock",159,109,1.21,15.7,-31.4,3.00,1415.91,327.00,189.81
42,"Maven Toys Hermosillo 3","Hermosillo","Commercial",2,"Animal Figures","Toys",9.99,12.99,10,"positive_stock",92,80,0.89,11.3,-13.0,3.00,1039.20,240.00,99.90
43,"Maven Toys Durango 1","Durango","Downtown",2,"Animal Figures","Toys",9.99,12.99,8,"positive_stock",73,67,0.74,10.7,-8.2,3.00,870.33,201.00,79.92
44,"Maven Toys Puebla 3","Puebla","Residential",2,"Animal Figures","Toys",9.99,12.99,4,"positive_stock",61,144,1.60,2.5,136.1,3.00,1870.56,432.00,39.96
45,"Maven Toys Ciudad de Mexico 4","Ciudad de Mexico","Commercial",2,"Animal Figures","Toys",9.99,12.99,23,"positive_stock",180,210,2.33,9.9,16.7,3.00,2727.90,630.00,229.77
46,"Maven Toys Guadalajara 4","Guadalajara","Downtown",2,"Animal Figures","Toys",9.99,12.99,3,"positive_stock",147,173,1.92,1.6,17.7,3.00,2247.27,519.00,29.97
47,"Maven Toys Monterrey 4","Monterrey","Commercial",2,"Animal Figures","Toys",9.99,12.99,15,"positive_stock",99,279,3.10,4.8,181.8,3.00,3624.21,837.00,149.85
48,"Maven Toys Saltillo 2","Saltillo","Commercial",2,"Animal Figures","Toys",9.99,12.99,23,"positive_stock",57,47,0.52,44.0,-17.5,3.00,610.53,141.00,229.77
49,"Maven Toys Culiacan 1","Culiacan","Downtown",2,"Animal Figures","Toys",9.99,12.99,0,"confirmed_zero_stock",64,456,5.07,0.0,612.5,3.00,5923.44,1368.00,0.00
50,"Maven Toys Guanajuato 3","Guanajuato","Residential",2,"Animal Figures","Toys",9.99,12.99,49,"positive_stock",119,77,0.86,57.3,-35.3,3.00,1000.23,231.00,489.51
1,"Maven Toys Guadalajara 1","Guadalajara","Residential",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,32,"positive_stock",387,247,2.74,11.7,-36.2,2.00,985.53,494.00,63.68
2,"Maven Toys Monterrey 1","Monterrey","Residential",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,18,"positive_stock",596,425,4.72,3.8,-28.7,2.00,1695.75,850.00,35.82
3,"Maven Toys Guadalajara 2","Guadalajara","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,35,"positive_stock",476,270,3.00,11.7,-43.3,2.00,1077.30,540.00,69.65
4,"Maven Toys Saltillo 1","Saltillo","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,6,"positive_stock",423,239,2.66,2.3,-43.5,2.00,953.61,478.00,11.94
5,"Maven Toys La Paz 1","La Paz","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,3,"positive_stock",216,223,2.48,1.2,3.2,2.00,889.77,446.00,5.97
6,"Maven Toys Mexicali 1","Mexicali","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,20,"positive_stock",236,291,3.23,6.2,23.3,2.00,1161.09,582.00,39.80
7,"Maven Toys Monterrey 2","Monterrey","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,10,"positive_stock",588,364,4.04,2.5,-38.1,2.00,1452.36,728.00,19.90
8,"Maven Toys Pachuca 1","Pachuca","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,8,"positive_stock",615,113,1.26,6.4,-81.6,2.00,450.87,226.00,15.92
9,"Maven Toys Ciudad de Mexico 1","Ciudad de Mexico","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,10,"positive_stock",1235,570,6.33,1.6,-53.8,2.00,2274.30,1140.00,19.90
10,"Maven Toys Campeche 1","Campeche","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,15,"positive_stock",552,210,2.33,6.4,-62.0,2.00,837.90,420.00,29.85
11,"Maven Toys Cuernavaca 1","Cuernavaca","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,18,"positive_stock",300,402,4.47,4.0,34.0,2.00,1603.98,804.00,35.82
12,"Maven Toys Chetumal 1","Chetumal","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,44,"positive_stock",264,359,3.99,11.0,36.0,2.00,1432.41,718.00,87.56
13,"Maven Toys Mexicali 2","Mexicali","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,3,"positive_stock",879,320,3.56,0.8,-63.6,2.00,1276.80,640.00,5.97
14,"Maven Toys Guanajuato 1","Guanajuato","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,22,"positive_stock",445,311,3.46,6.4,-30.1,2.00,1240.89,622.00,43.78
15,"Maven Toys Tuxtla Gutierrez 1","Tuxtla Gutierrez","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,3,"positive_stock",329,256,2.84,1.1,-22.2,2.00,1021.44,512.00,5.97
16,"Maven Toys San Luis Potosi 1","San Luis Potosi","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,37,"positive_stock",266,343,3.81,9.7,28.9,2.00,1368.57,686.00,73.63
17,"Maven Toys Toluca 1","Toluca","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,8,"positive_stock",759,566,6.29,1.3,-25.4,2.00,2258.34,1132.00,15.92
18,"Maven Toys Merida 1","Merida","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,64,"positive_stock",386,239,2.66,24.1,-38.1,2.00,953.61,478.00,127.36
19,"Maven Toys Puebla 1","Puebla","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,7,"positive_stock",441,306,3.40,2.1,-30.6,2.00,1220.94,612.00,13.93
20,"Maven Toys Zacatecas 1","Zacatecas","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,24,"positive_stock",366,261,2.90,8.3,-28.7,2.00,1041.39,522.00,47.76
21,"Maven Toys Santiago 1","Santiago","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,74,"positive_stock",377,263,2.92,25.3,-30.2,2.00,1049.37,526.00,147.26
22,"Maven Toys Guanajuato 2","Guanajuato","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,0,"confirmed_zero_stock",345,123,1.37,0.0,-64.3,2.00,490.77,246.00,0.00
23,"Maven Toys Chihuahua 1","Chihuahua","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,5,"positive_stock",334,181,2.01,2.5,-45.8,2.00,722.19,362.00,9.95
24,"Maven Toys Aguascalientes 1","Aguascalientes","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,13,"positive_stock",378,124,1.38,9.4,-67.2,2.00,494.76,248.00,25.87
25,"Maven Toys Ciudad Victoria 1","Ciudad Victoria","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,43,"positive_stock",318,238,2.64,16.3,-25.2,2.00,949.62,476.00,85.57
26,"Maven Toys Campeche 2","Campeche","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,15,"positive_stock",310,254,2.82,5.3,-18.1,2.00,1013.46,508.00,29.85
27,"Maven Toys Oaxaca 1","Oaxaca","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,55,"positive_stock",342,277,3.08,17.9,-19.0,2.00,1105.23,554.00,109.45
28,"Maven Toys Puebla 2","Puebla","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,60,"positive_stock",592,374,4.16,14.4,-36.8,2.00,1492.26,748.00,119.40
29,"Maven Toys Xalapa 1","Xalapa","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,17,"positive_stock",270,133,1.48,11.5,-50.7,2.00,530.67,266.00,33.83
30,"Maven Toys Guadalajara 3","Guadalajara","Airport",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,10,"positive_stock",563,263,2.92,3.4,-53.3,2.00,1049.37,526.00,19.90
31,"Maven Toys Ciudad de Mexico 2","Ciudad de Mexico","Airport",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,36,"positive_stock",728,628,6.98,5.2,-13.7,2.00,2505.72,1256.00,71.64
32,"Maven Toys Hermosillo 1","Hermosillo","Residential",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,45,"positive_stock",705,350,3.89,11.6,-50.4,2.00,1396.50,700.00,89.55
33,"Maven Toys Monterrey 3","Monterrey","Airport",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,21,"positive_stock",160,162,1.80,11.7,1.3,2.00,646.38,324.00,41.79
34,"Maven Toys Villahermosa 1","Villahermosa","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,17,"positive_stock",349,228,2.53,6.7,-34.7,2.00,909.72,456.00,33.83
35,"Maven Toys Chilpancingo 1","Chilpancingo","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,12,"positive_stock",345,203,2.26,5.3,-41.2,2.00,809.97,406.00,23.88
36,"Maven Toys Morelia 1","Morelia","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,26,"positive_stock",83,19,0.21,123.2,-77.1,2.00,75.81,38.00,51.74
37,"Maven Toys Ciudad de Mexico 3","Ciudad de Mexico","Residential",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,4,"positive_stock",692,495,5.50,0.7,-28.5,2.00,1975.05,990.00,7.96
38,"Maven Toys Chihuahua 2","Chihuahua","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,54,"positive_stock",346,312,3.47,15.6,-9.8,2.00,1244.88,624.00,107.46
39,"Maven Toys Xalapa 2","Xalapa","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,13,"positive_stock",438,381,4.23,3.1,-13.0,2.00,1520.19,762.00,25.87
40,"Maven Toys Toluca 2","Toluca","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,9,"positive_stock",239,148,1.64,5.5,-38.1,2.00,590.52,296.00,17.91
41,"Maven Toys Hermosillo 2","Hermosillo","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,63,"positive_stock",301,244,2.71,23.2,-18.9,2.00,973.56,488.00,125.37
42,"Maven Toys Hermosillo 3","Hermosillo","Commercial",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,32,"positive_stock",170,88,0.98,32.7,-48.2,2.00,351.12,176.00,63.68
43,"Maven Toys Durango 1","Durango","Downtown",3,"Barrel O' Slime","Art & Crafts",1.99,3.99,20,"positive_stock",164,256,2.84,7.0,56.1,2.00,1021.44,512.00,39.80
